Distance from dealer,Sales Source,Free Shipping Cost,Stock Number,Car Class,Body,Color,Year,Make,Model,Mileage,Age,Trade ACV,Acquisition Cost,RECONDITIONING COST,Total Cost,Sale Price,Front Gross,Financing,warranty,insurance,other_products,Theft,Ultimate,Dent/Ding,Windshield,Tire/Wheel,Roadside,Bank Fees,Back Gross,Total Gross
199.145,Autotrader,0,1A771567,"Car, Luxury",4D Sedan,Black,11,BMW,328XI,49735,93,0,19000,2080.14,21548.14,19990,-1433.14,1018.35,1000,0,,,,,,,,,2018.35,585.21
42.101,eBay,0,3U114895,"Car, Compact",4D Hatchback,Black,12,CHEV,VOLT,23776,38,0,17675,1174.99,19317.99,19980,787.01,0,0,0,200,125,,,,,,,325,1112.01
45.657,Autotrader,0,4J312626,"SUV, Intermediate Sport Utility",4D Sport Utility,White,14,BUIC,ENCL,1372,16,2500,36390,624.75,37482.75,38000,642.25,169.34,2105,242,200,125,,,,,,,2841.34,3483.59
37.203,eBay,0,5F206387,"Car, Intermediate",4D Sedan,Black,14,BUIC,LACRO,18599,7,0,19675,1235.26,21378.26,23980,2726.74,471.74,0,242,,,,,,,,,713.74,3440.48
119.186,Cargurus,0,2L129149,"Car, Intermediate",4D Sedan,Red,8,PONT,G8,58351,140,9500,16265,597.58,17330.58,14990,-2215.58,93.87,0,0,200,125,,,,,,,418.87,-1796.71
15.385,eBay,0,35101301,"Car, Sport",2D Coupe,Yellow,9,FORD,MUST,23791,64,0,22825,1572.88,24865.88,23990,-750.88,0,0,0,,,,,,,,,0,-750.88
4.986,Cars.com,0,3U103546,"Car, Compact",4D Hatchback,Blue,13,CHEV,VOLT,13185,1,0,17875,654.78,18997.78,19980,1107.22,150,1000,242,200,125,,,,,,,1717,2824.22
162.264,eBay,250,1M701328,"Car, Luxury",4D Sedan,,12,INFI,G25,34052,23,0,16000,2218.59,18686.59,19000,438.41,0,0,0,200,,,,,,,,200,638.41
446.801,eBay,0,3U102903,"Car, Compact",4D Hatchback,Silver,13,CHEV,VOLT,10861,31,0,20925,1378.27,22771.27,21980,-666.27,200,0,0,,,,,,,,,200,-466.27
865.67,eBay,0,3S155446,"Car, Luxury Sport",2D Cabriolet,Black,13,PORS,911,5012,50,0,97855,2043.91,100366.91,97980,-2261.91,0,0,0,,,,,,,,,0,-2261.91
0,Cars.com,0,13511127,"SUV, Intermediate Sport Utility",4D Sport Utility,,10,MAZD,CX7,30417,25,0,11500,1258.06,13226.06,14000,898.94,1248.48,1000,242,200,125,,,,,,499.83,3315.31,4214.25
165.195,Cars.com,0,2E533786,"Car, Intermediate",4D Sedan,Blue,13,VW,CC,40520,45,0,17130,2432.28,20030.28,18980,-925.28,338.04,0,0,200,125,,,,,,,663.04,-262.24
0,eBay,0,5R284626,"Car, Intermediate",4D Sedan,Black,14,FORD,FUSN,8150,7,0,21225,757.33,22450.33,23980,1654.67,670.32,1000,242,200,125,,,,,,,2237.32,3891.99
18.611,Cargurus,0,5R292842,"Car, Intermediate",4D Sedan,Gray,14,FORD,FUSN,18269,16,0,17315,609.25,18392.25,18980,712.75,341.5,0,0,,,,,,,,,341.5,1054.25
13.654,eBay,0,4H354930,"Car, Intermediate",4D Sedan,White,12,HYUN,SONA,22127,8,1500,14960,683.28,16111.28,16980,993.72,367.79,0,0,200,125,,,,,,,692.79,1686.51
18.611,Cargurus,0,1R227497,"SUV, Luxury Sport Utility",4D Sport Utility,,7,CADI,ESCALV,64478,15,7500,26000,2993.31,29461.31,29980,643.69,351.79,1000,0,,,,,,,,25,1376.79,2020.48
1009.89,eBay,700,1A319077,"Car, Luxury High",4D Sedan,Black,3,MB,S500V,59985,20,0,10400,3086.67,13954.67,13980,150.33,57.12,1000,292,,,,,,,,,1349.12,1499.45
672.402,Cars.com,450,9S327816,"Van, Small Van",4D Passenger Van,,13,TOYO,SIENNA,13883,96,24000,27000,2108.42,29576.42,27980,-1471.42,0,0,0,,,,,,,,,0,-1471.42
864.486,eBay,450,5F274278,"Car, Intermediate",4D Sedan,White,12,BUIC,LACRO,33181,14,0,19375,1242.75,21085.75,21980,1019.25,0,0,0,,,,,,,,,0,1019.25
760.898,EMAIL,400,3A122325,"Car, Luxury High",4D Coupe,Black,8,MB,CLS550,20912,20,0,32775,1954.55,35197.55,33990,-1082.55,0,0,0,,,,,,,,,0,-1082.55
315.606,eBay,250,2FB77802,"Truck, Large Pick-up",4D SuperCrew,White,11,FORD,F150,26417,62,0,35465,1232.24,37165.24,37980,939.76,0,0,0,200,125,,,,,,,325,1264.76
339.424,Autotrader,250,9X195949,"Truck, Large Pick-up",4D CrewMax,Silver,11,TOYO,TUND,26156,95,0,27920,1034.66,29422.66,28980,-317.66,239.42,0,0,200,125,,,,,,,564.42,246.76
171.722,eBay,250,2DA66820,"Van, Full Size Vans",Cargo Van,White,13,FORD,E250,3699,33,0,18345,666.43,19479.43,20000,645.57,1579.18,1000,0,200,125,,,,,,,2904.18,3549.75
171.722,eBay,250,2DA80027,"Van, Full Size Vans",Cargo Van,White,13,FORD,E250,8375,61,0,18030,1301.35,19799.35,19980,305.65,877.46,1000,0,200,125,,,,,,,2202.46,2508.11
17.271,eBay,200,1S651795,"Car, Luxury Sport",2D Cabriolet,,4,PORS,911,23374,4,0,32000,2137.26,34605.26,35980,1499.74,0,0,0,,,,,,,,,0,1499.74
203.645,eBay,0,4BD25061,"SUV, Intermediate Sport Utility",4D Sport Utility,Red,13,FORD,FLEX,23401,19,0,28360,733.14,29561.14,30000,563.86,0,0,0,200,125,,,,,,,325,888.86
36.957,eBay,0,1LV33753,"Car, Luxury High",4D Sedan,,12,JAGU,XJ,27401,20,0,39000,875.81,40343.81,41000,781.19,0,0,0,,,,,,,,,0,781.19
20.068,Unknown,0,3G331738,"Truck, Large Pick-up",4D Crew Cab,White,12,DODG,RAM35,18062,67,12000,33375,690.06,34533.06,33980,-428.06,2264.76,0,242,,,,,,,,,2506.76,2078.7
169.59,eBay,0,3C328570,"SUV, Intermediate Sport Utility",4D Sport Utility,Gray,14,JEEP,GRANC,21512,5,2500,34000,1338.96,35806.96,37980,2298.04,1126.94,1000,242,200,125,550,,,,,,3243.94,5541.98
10.702,eBay,0,4R105508,"SUV, Luxury Sport Utility",4D Sport Utility,White,9,CADI,ESCAL,54654,14,0,29210,2185.2,31863.2,33000,1261.8,0,0,0,,,,,,,,,0,1261.8
21.731,Unknown,0,4E519814,"Car, Intermediate",4D Sedan,Gray,12,VW,CC,30533,6,0,15920,685.39,17073.39,18980,2031.61,0,1000,242,,,,,,,,,1242,3273.61
22.796,Cars.com,0,5G102728,"Car, Intermediate",4D Sedan,Orange,14,FORD,TAUR,24655,2,0,17810,659.35,18937.35,19980,1167.65,0,0,0,,,,,,,,,0,1167.65
810.633,eBay,700,2T023508,"Car, Compact",4D Hatchback,White,12,NISS,LEAF,9791,32,0,15430,2101.87,17999.87,16980,-894.87,395.22,1000,0,0,0,,,,,,,1395.22,500.35
666.15,Cars.com,450,3L062760,"Car, Luxury High",4D Hatchback,Silver,10,PORS,PANA,31990,19,24000,55195,1776.94,57439.94,57500,185.06,3365.28,0,0,0,0,,,,,,,3365.28,3550.34
